"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"Total"	"Mar., 2004"	"2004/03"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"Not Stated"	"NS"			0	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"					2301	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"< 1 year"	"1"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"< 1 year"	"1"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"< 1 year"	"1"			1	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"1-4 years"	"1-4"			1	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"5-9 years"	"5-9"			0	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"10-14 years"	"10-14"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"10-14 years"	"10-14"			3	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"15-19 years"	"15-19"	"Female"	"F"	18	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"15-19 years"	"15-19"	"Male"	"M"	42	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"15-19 years"	"15-19"			60	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"20-24 years"	"20-24"	"Female"	"F"	25	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"20-24 years"	"20-24"	"Male"	"M"	113	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"20-24 years"	"20-24"			138	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"25-29 years"	"25-29"	"Female"	"F"	50	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"25-29 years"	"25-29"	"Male"	"M"	123	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"25-29 years"	"25-29"			173	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"30-34 years"	"30-34"	"Female"	"F"	67	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"30-34 years"	"30-34"	"Male"	"M"	139	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"30-34 years"	"30-34"			206	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"35-39 years"	"35-39"	"Female"	"F"	118	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"35-39 years"	"35-39"	"Male"	"M"	194	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"35-39 years"	"35-39"			312	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"40-44 years"	"40-44"	"Female"	"F"	174	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"40-44 years"	"40-44"	"Male"	"M"	213	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"40-44 years"	"40-44"			387	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"45-49 years"	"45-49"	"Female"	"F"	147	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"45-49 years"	"45-49"	"Male"	"M"	215	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"45-49 years"	"45-49"			362	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"50-54 years"	"50-54"	"Female"	"F"	106	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"50-54 years"	"50-54"	"Male"	"M"	142	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"50-54 years"	"50-54"			248	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"55-59 years"	"55-59"	"Female"	"F"	50	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"55-59 years"	"55-59"	"Male"	"M"	71	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"55-59 years"	"55-59"			121	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"60-64 years "	"60-64"	"Female"	"F"	14	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"60-64 years "	"60-64"	"Male"	"M"	22	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"60-64 years "	"60-64"			36	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"65-69 years"	"65-69"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"65-69 years"	"65-69"	"Male"	"M"	10	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"65-69 years"	"65-69"			18	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"70-74 years"	"70-74"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"70-74 years"	"70-74"	"Male"	"M"	10	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"70-74 years"	"70-74"			19	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"75-79 years"	"75-79"	"Female"	"F"	17	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"75-79 years"	"75-79"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"75-79 years"	"75-79"			20	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"80-84 years"	"80-84"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"80-84 years"	"80-84"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"80-84 years"	"80-84"			13	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"85-89 years"	"85-89"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"85-89 years"	"85-89"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"85-89 years"	"85-89"			7	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"90-94 years"	"90-94"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"90-94 years"	"90-94"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"90-94 years"	"90-94"			3	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"95-99 years"	"95-99"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"95-99 years"	"95-99"			2	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"	"Not Stated"	"NS"			0	Not Applicable	Not Applicable
"Total"	"Apr., 2004"	"2004/04"					2130	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"< 1 year"	"1"	"Female"	"F"	1	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"< 1 year"	"1"			2	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"1-4 years"	"1-4"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"1-4 years"	"1-4"			3	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"5-9 years"	"5-9"	"Female"	"F"	2	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"5-9 years"	"5-9"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"5-9 years"	"5-9"			4	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"10-14 years"	"10-14"	"Female"	"F"	4	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"10-14 years"	"10-14"			5	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"15-19 years"	"15-19"	"Female"	"F"	15	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"15-19 years"	"15-19"	"Male"	"M"	57	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"15-19 years"	"15-19"			72	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"20-24 years"	"20-24"	"Female"	"F"	35	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"20-24 years"	"20-24"	"Male"	"M"	127	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"20-24 years"	"20-24"			162	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"25-29 years"	"25-29"	"Female"	"F"	42	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"25-29 years"	"25-29"	"Male"	"M"	143	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"25-29 years"	"25-29"			185	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"30-34 years"	"30-34"	"Female"	"F"	69	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"30-34 years"	"30-34"	"Male"	"M"	146	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"30-34 years"	"30-34"			215	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"35-39 years"	"35-39"	"Female"	"F"	107	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"35-39 years"	"35-39"	"Male"	"M"	196	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"35-39 years"	"35-39"			303	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"40-44 years"	"40-44"	"Female"	"F"	158	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"40-44 years"	"40-44"	"Male"	"M"	300	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"40-44 years"	"40-44"			458	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"45-49 years"	"45-49"	"Female"	"F"	162	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"45-49 years"	"45-49"	"Male"	"M"	260	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"45-49 years"	"45-49"			422	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"50-54 years"	"50-54"	"Female"	"F"	95	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"50-54 years"	"50-54"	"Male"	"M"	166	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"50-54 years"	"50-54"			261	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"55-59 years"	"55-59"	"Female"	"F"	58	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"55-59 years"	"55-59"	"Male"	"M"	66	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"55-59 years"	"55-59"			124	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"60-64 years "	"60-64"	"Female"	"F"	28	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"60-64 years "	"60-64"	"Male"	"M"	26	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"60-64 years "	"60-64"			54	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"65-69 years"	"65-69"	"Female"	"F"	9	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"65-69 years"	"65-69"	"Male"	"M"	8	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"65-69 years"	"65-69"			17	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"70-74 years"	"70-74"	"Female"	"F"	13	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"70-74 years"	"70-74"	"Male"	"M"	10	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"70-74 years"	"70-74"			23	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"75-79 years"	"75-79"	"Female"	"F"	8	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"75-79 years"	"75-79"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"75-79 years"	"75-79"			14	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"80-84 years"	"80-84"	"Female"	"F"	5	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"80-84 years"	"80-84"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"80-84 years"	"80-84"			9	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"85-89 years"	"85-89"	"Female"	"F"	5	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"85-89 years"	"85-89"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"85-89 years"	"85-89"			6	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"90-94 years"	"90-94"	"Female"	"F"	2	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"90-94 years"	"90-94"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"90-94 years"	"90-94"			2	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"95-99 years"	"95-99"			0	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"Not Stated"	"NS"	"Female"	"F"	1	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	"Not Stated"	"NS"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"	"Not Stated"	"NS"			2	Not Applicable	Not Applicable
"Total"	"May, 2004"	"2004/05"					2343	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"< 1 year"	"1"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"< 1 year"	"1"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"< 1 year"	"1"			2	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"1-4 years"	"1-4"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"1-4 years"	"1-4"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"1-4 years"	"1-4"			1	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"5-9 years"	"5-9"			0	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"10-14 years"	"10-14"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"10-14 years"	"10-14"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"10-14 years"	"10-14"			6	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"15-19 years"	"15-19"	"Female"	"F"	18	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"15-19 years"	"15-19"	"Male"	"M"	47	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"15-19 years"	"15-19"			65	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"20-24 years"	"20-24"	"Female"	"F"	42	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"20-24 years"	"20-24"	"Male"	"M"	140	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"20-24 years"	"20-24"			182	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"25-29 years"	"25-29"	"Female"	"F"	53	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"25-29 years"	"25-29"	"Male"	"M"	129	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"25-29 years"	"25-29"			182	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"30-34 years"	"30-34"	"Female"	"F"	72	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"30-34 years"	"30-34"	"Male"	"M"	111	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"30-34 years"	"30-34"			183	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"35-39 years"	"35-39"	"Female"	"F"	89	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"35-39 years"	"35-39"	"Male"	"M"	194	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"35-39 years"	"35-39"			283	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"40-44 years"	"40-44"	"Female"	"F"	144	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"40-44 years"	"40-44"	"Male"	"M"	259	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"40-44 years"	"40-44"			403	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"45-49 years"	"45-49"	"Female"	"F"	166	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"45-49 years"	"45-49"	"Male"	"M"	266	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"45-49 years"	"45-49"			432	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"50-54 years"	"50-54"	"Female"	"F"	82	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"50-54 years"	"50-54"	"Male"	"M"	166	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"50-54 years"	"50-54"			248	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"55-59 years"	"55-59"	"Female"	"F"	65	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"55-59 years"	"55-59"	"Male"	"M"	80	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"55-59 years"	"55-59"			145	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"60-64 years "	"60-64"	"Female"	"F"	27	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"60-64 years "	"60-64"	"Male"	"M"	31	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"60-64 years "	"60-64"			58	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"65-69 years"	"65-69"	"Female"	"F"	13	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"65-69 years"	"65-69"	"Male"	"M"	13	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"65-69 years"	"65-69"			26	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"70-74 years"	"70-74"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"70-74 years"	"70-74"	"Male"	"M"	13	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"70-74 years"	"70-74"			21	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"75-79 years"	"75-79"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"75-79 years"	"75-79"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"75-79 years"	"75-79"			12	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"80-84 years"	"80-84"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"80-84 years"	"80-84"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"80-84 years"	"80-84"			10	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"85-89 years"	"85-89"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"85-89 years"	"85-89"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"85-89 years"	"85-89"			4	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"90-94 years"	"90-94"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"90-94 years"	"90-94"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"90-94 years"	"90-94"			3	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"95-99 years"	"95-99"			0	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"Not Stated"	"NS"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	"Not Stated"	"NS"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"	"Not Stated"	"NS"			2	Not Applicable	Not Applicable
"Total"	"Jun., 2004"	"2004/06"					2268	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"< 1 year"	"1"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"< 1 year"	"1"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"< 1 year"	"1"			1	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"1-4 years"	"1-4"			1	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"5-9 years"	"5-9"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"5-9 years"	"5-9"			1	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"10-14 years"	"10-14"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"10-14 years"	"10-14"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"10-14 years"	"10-14"			4	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"15-19 years"	"15-19"	"Female"	"F"	17	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"15-19 years"	"15-19"	"Male"	"M"	62	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"15-19 years"	"15-19"			79	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"20-24 years"	"20-24"	"Female"	"F"	44	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"20-24 years"	"20-24"	"Male"	"M"	131	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"20-24 years"	"20-24"			175	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"25-29 years"	"25-29"	"Female"	"F"	58	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"25-29 years"	"25-29"	"Male"	"M"	149	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"25-29 years"	"25-29"			207	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"30-34 years"	"30-34"	"Female"	"F"	64	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"30-34 years"	"30-34"	"Male"	"M"	140	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"30-34 years"	"30-34"			204	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"35-39 years"	"35-39"	"Female"	"F"	108	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"35-39 years"	"35-39"	"Male"	"M"	177	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"35-39 years"	"35-39"			285	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"40-44 years"	"40-44"	"Female"	"F"	143	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"40-44 years"	"40-44"	"Male"	"M"	235	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"40-44 years"	"40-44"			378	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"45-49 years"	"45-49"	"Female"	"F"	165	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"45-49 years"	"45-49"	"Male"	"M"	272	Not Applicable	Not Applicable
"Total"	"Jul., 2004"	"2004/07"	"45-49 years"	"45-49"			437	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"50-54 years"	"50-54"	"Female"	"F"	89	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	"50-54 years"	"50-54"	"Male"	"M"	194	Not Applicable	Not Applicable
